Index,Headline,Sentiment_Score
0,Johnson is asking Santa for a Christmas recovery,0.3
1,"‘I now fear the worst’: four grim tales of working life upended by Covid-19",-0.8
2,Five key areas Sunak must tackle to serve up economic recovery,0.0
3,Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit,-0.7
4,"The Week in Patriarchy Bacardi's 'lady vodka': the latest in a long line of depressing gendered products",-0.5
5,English councils call for smoking ban outside pubs and cafes,0.0
6,Can Tesla justify a $300bn valuation?,-0.25
7,"Empty city centres: 'I’m not sure it will ever be the same again'",-0.6
8,"Democratising finance for all? An investment app for amateurs and a student trader's death",-0.5
9,"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",0.4
10,St Mawes named UK’s top seaside resort in Which? poll,0.7
11,Atol protection to be extended to vouchers on Covid-19 cancellations,0.5
12,Leaseholders billed up to £115000 each to remove Grenfell-style cladding,-0.9
13,Boohoo calls for licensing scheme to ensure textile factories fit to trade,0.0
14,All Asda HQ staff told to return to office at least once a week from August,0.0
15,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",-0.8
16,"British Airways retires iconic Boeing 747 fleet – in pictures",-0.4
17,World Bank calls on creditors to cut poorest nations’ debt payments,0.5
18,British Airways retires Boeing 747 fleet as Covid-19 hits travel,-0.7
19,What will changes to England’s lockdown rules mean for me?,0.0
20,In search of a new economics for Covid-19 era,0.0
21,"Business live Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened",-0.1
22,"I flew the jumbo for 10 years and never got over how big it was, says 747 pilot",0.2
23,"BA begins to carry out its ‘fire and rehire’ threat to jobs",-0.8
24,"Johnson’s coronavirus workplace guidance confused, warn unions",-0.5
25,"What will be changing in Boris Johnson’s ‘return to normality’",0.0
26,Lloyds to increase number of black staff in senior roles,0.5
27,"Silicon Valley has deep pockets for African startups – if you’re not African",-0.5
28,"Future of education ‘The MIT of the north’: how the government plans to transform ex-mining towns",0.6
29,Battery firm chooses Welsh site for Britain’s first gigafactory,0.8
30,Netflix shares drop despite positive second-quarter earnings,-0.3
31,"Nils Pratley on finance Centrica left it far too late to tackle its problems",-0.5
32,"Here’s another virus terrorising businesses and causing havoc: ransomware",-0.8
33,"$11.3bn in IMF Covid-19 money is being used to service debt, says group",-0.6
34,A fifth of Brazilian soy in Europe is result of deforestation,-0.7
35,Public sector pension discrimination could cost UK taxpayer £17bn,-0.8
36,World’s largest oil firm agrees to carbon cuts to tackle climate crisis,0.8
37,Boohoo shares rise 12% after co-founders pump £15m into firm,0.6
38,UK government orders halt to Randox Covid-19 tests over safety issues,-0.7
39,Canary Wharf traders and landlord bank on return to offices,0.3
40,Number of UK problem gamblers seeking help soars in lockdown,-0.8
41,"British Gas owner ‘using Covid-19 as smokescreen to alter staff contracts’",-0.7
42,"‘It’s disrupted our entire lives’: UK workers on losing their jobs",-0.9
43,"Business live China shares suffer biggest fall since February; US jobless claims still high - as it happened",-0.6
44,More than 1600 UK jobs at risk at casino firm Genting,-0.8
45,Royalties investment firm buys catalogue of Lady Gaga collaborator,0.3
46,"Pizza Express to close up to 75 restaurants risking 1000 jobs",-0.8
47,"Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS",-0.5
48,Next in final stages of buying UK arm of Victoria’s Secret,0.4
49,"Human rights in focus Ethical labels not fit for purpose report warns consumers",-0.5
50,UK banks may have to flag up plans to shut branches or cash machines,-0.2
51,1.3m more file for unemployment as US economy continues to reel,-0.8
52,Southbank Centre warns of 400 job losses amid coronavirus crisis,-0.8
53,"UK’s hidden problem of rising unemployment may soon be exposed",-0.7
54,UK paid employment falls by almost 650000 as Covid-19 crisis bites,-0.8
55,Banks propose student loan-style scheme for struggling UK businesses,0.5
56,Family fortunes of wealthy increase as super-rich ride coronavirus storm,-0.6
57,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,0.5
58,"29% of UK businesses to cut jobs in next three months survey says",-0.8
59,"‘Incredible’ Boohoo denying knowledge of factory allegations says MP",-0.7
60,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,0.5
61,"Nils Pratley on finance Margrethe Vestager was 100% correct over public mood on Apple tax case",0.5
62,Fear of Pizza Express closures as chain faces takeover by bondholders,-0.7
63,"‘Not much difference’: few takers on first day of hospitality VAT cut",-0.5
64,Capital gains tax review: your questions answered,0.0
65,Asos considers action against Leicester supplier in ethical audit,-0.3
66,"Business live Chancellor Rishi Sunak warns of ‘tough choices’ to address public finances - as it happened",-0.5
67,BBC announces further 70 job cuts in news division,-0.7
68,"Claim Amanda Staveley in charge of Abu Dhabi Barclays deal ‘a fantasy’ court told",-0.5
69,"Trump claims credit for UK Huawei ban as China says move ‘disheartening’ – video",-0.5
70,"Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs",-0.8
71,UK ban on Huawei in 5G network groundless says Chinese ambassador,-0.5
72,UK fast-food and coffee chains cut prices as VAT relief comes into effect,0.5
73,Apple does not need to pay €13bn Irish tax bill EU court rules,0.6
74,"‘I can’t afford to turn away business’: view from shops on face mask rules",-0.5
75,"The Number Bias by Sanne Blauw review – how numbers can mislead us",-0.3
76,"Chinese media calls for ‘pain’ over UK Huawei ban as Trump claims credit",-0.7
77,Matt Hancock rules out mandatory face masks in offices,0.0
78,"Burberry to cut 500 jobs worldwide in £55m cost-saving drive",-0.8
79,UK inflation rises as game console prices increase in lockdown,-0.3
80,"BFI diversity standards ‘failing to tackle race discrimination in UK film industry’",-0.7
81,"Your problems with Anna Tims Floored as Harveys constantly failed on its promises to deliver",-0.7
82,Governments put ‘green recovery’ on the backburner,-0.7
83,The green recovery UK government planning new green investment bank,0.8
84,Stamp duty cut fuels surge of interest in London commuter belt,0.6
85,"UK energy efficiency push offers just a third of the investment needed, says report",-0.5
86,UK launches first online service for groceries in reusable packing,0.6
87,"Rishi Sunak’s capital gains tax review may usher in higher taxes on wealthy",-0.3
88,"Virgin Atlantic: a successful non-intervention by the Treasury",0.6
89,"The Guardian view on Covid-19 economics: the austerity con of deficit hysteria",-0.5
90,"Former Barclays boss apologises for Amanda Staveley ‘tart’ reference",-0.5
91,Hospitality VAT cut may not be passed on to UK consumers,-0.5
92,"Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly",0.5
93,"Weak recovery could make unemployment worse than 1980s levels, warns OBR",-0.8
94,Treasury forecaster’s three stark predictions for Britain’s economy,-0.7
95,"UK accounting firms criticised by watchdog for ‘unacceptable’ work",-0.7
96,"Business live Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened",-0.6
97,"Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump",0.6
98,Ireland could randomly test tourists from high-risk countries for Covid-19,0.0
99,British Airways to sell art collection to ease Covid-19 pressures,-0.5